correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;1352.33;789.81;138333.86;21.84;93.3753555;2257.3553555;1380.35;307664.217010924;471567.8230872883;333233.9630872883;304939.893702051
0.0;1360.17;782.16;136973.7;21.84;92.45724750000001;2256.6272475;1380.35;308838.3208320046;472056.2475807109;335082.5475807109;306759.17272586824
0.0;1368.05;774.47;135605.65;21.84;91.53381375000001;2255.89381375;1380.35;310012.82384499855;472545.1779578561;336939.5279578561;308586.8172803847
0.0;1375.97;766.73;134229.68;21.84;90.605034;2255.145034;1380.35;311187.711074423;473034.6147426909;338804.9347426909;310422.8578581294
0.0;1383.94;758.95;132845.74;21.84;89.6708745;2254.4008745000006;1380.35;312362.9875158624;473524.558459725;340678.818459725;312267.3449521415
0.0;1391.97;751.13;131453.77;21.84;88.73129475;2253.67129475;1380.35;313538.6681388371;474015.0096340115;342561.2396340115;314120.33905597084
0.0;1400.03;743.26;130053.74;21.84;87.7862745;2252.9162745000003;1380.35;314714.7278684364;474505.9687911471;344452.2287911471;315981.8706636783
0.0;1408.15;735.34;128645.59;21.84;86.83577325;2252.1657732500003;1397.6;315873.90494296286;474997.43645727314;346351.8464572731;317852.00026983675
0.0;1416.31;727.38;127229.28;21.84;85.87976400000001;2251.409764;1397.6;317033.4442036887;475489.4131590757;348260.13315907575;319730.7683695312
0.0;1424.53;719.37;125804.75;21.84;84.91820625000001;2250.65820625;1397.6;318097.8924508836;475981.8994237865;350177.1494237865;321618.2354583593
0.0;1432.79;711.32;124371.96;21.84;83.95107300000001;2249.9010730000005;1397.6;319258.0683249154;476474.89577918325;352102.93577918323;323514.44203243224
0.0;1441.1;703.22;122930.87;21.84;82.97833725;2249.13833725;1397.6;320418.6006162704;476968.4027535904;354037.5327535904;325419.428588375
0.0;1449.46;695.07;121481.41;21.84;81.99995175000001;2248.3699517500004;1397.6;321579.48401378584;477462.42087587947;355981.01087587944;327333.26562332665
0.0;1457.87;686.87;120023.55;21.84;81.01589625000001;2247.59589625;1397.6;322740.7131809028;477956.9506754699;357933.4006754699;329255.9836349417
0.0;1466.33;678.63;118557.22;21.84;80.02612350000001;2246.8261235;1397.6;323902.29273826827;478451.9926823294;359894.7726823294;331187.6531213896
0.0;1474.84;670.34;117082.38;21.84;79.0306065;2246.0506065;1397.6;325064.21727431053;478947.5474269746;361865.16742697457;333128.3145813561
0.0;1483.4;662.0;115598.99;21.84;78.02931825;2245.26931825;1397.6;326226.48134520825;479443.6154404716;363844.62544047163;335078.00851404335
0.0;1492.01;653.61;114106.98;21.84;77.0222115;2244.4822115;1397.6;327389.07945458964;479940.1972544367;365833.2172544367;337036.8054191705
0.0;1500.67;645.18;112606.3;21.84;76.0092525;2243.6992525;1415.07;328534.5292132849;480437.2934010365;367830.99340103654;339004.75579697435
0.0;1509.39;636.69;111096.92;21.84;74.990421;2242.910421;1415.07;329680.29505360563;480934.9044129891;369837.9844129891;340981.89014820976
0.0;1518.16;628.16;109578.76;21.84;73.965663;2242.1256630000003;1415.07;330826.3813580898;481433.0308235642;371854.2708235642;342968.2889741504
0.0;1526.98;619.57;108051.78;21.84;72.9349515;2241.3249515;1415.07;331873.1806354339;481931.6731665839;373879.89316658385;344963.9927765888
0.0;1535.86;610.94;106515.92;21.84;71.898246;2240.5382460000005;1415.07;333019.79472930514;482430.8319764231;375914.9119764231;346969.0620578377
0.0;1544.78;602.26;104971.14;21.84;70.8555195;2239.7355195;1415.07;334166.7121202936;482930.5077880103;377959.3677880103;348983.53732072964
0.0;1553.77;593.52;103417.37;21.84;69.80672475;2238.93672475;1415.07;335313.93703670974;483430.701136828;380013.331136828;351007.48906861834
0.0;1562.8;584.74;101854.57;21.84;68.75183475000001;2238.13183475;1415.07;336461.46367426676;483931.4125589133;382076.8425589133;353040.9578053785
